RowName,GameModeType,ProjectileId,ThreatId,AudioId,bTriggerExplosionWhenDefenseByADS,ThrowableWeaponTypeForADS,ProjectileClassBP,ProjectileMesh,ProjectileAnimationBP,ProjectileMeshRotator,bUseWeaponRotation,ProjectileMeshSize,VelocityThrowHigh,VelocityThrowLow,GravityScale,ZeroGravityDistance,bShouldBounce,bCanBeCountered,SmokeBreakSetting,bGenerateSmokeActor,SmokeEmitActorBP,ProjectileSoftClassBP,Bounciness,WallBounciness,CeilingBounciness,CharacterBounciness,Friction,CharacterFriction,BounceVelocityStopLimited,RotationRate,FixedMoveFrame,WaterDragFactorLow,WaterDragFactorHigh,WaterDragChangeVelocity,UnderWaterMinHorizontalVelocity,WaterBuoyancyScale,RowDescription
医疗粉尘,0,61,0,0,False,EGPThrowableWeaponTypeForADS::Placement,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_AbilityBullet_C103_MedicalDrone.BP_AbilityBullet_C103_MedicalDrone_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=0)",False,(),2000,900,0,0,True,False,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.5,0.2,1,0.9,0,"(Pitch=0, Yaw=0, Roll=0)",30,0,0.01,1200,5,-0.2,None
救援无人机,0,63,0,0,False,EGPThrowableWeaponTypeForADS::Placement,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_AbilityBullet_C103_Butter.BP_AbilityBullet_C103_Butter_C, SubPath=)",(),"(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C103_Butterfly/ABP_Support_C103_Butterfly_1P.ABP_Support_C103_Butterfly_1P_C, SubPath=)","(Pitch=0, Yaw=-90, Roll=0)",False,(),1800,900,0,0,True,False,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.7,0.7,0.7,0.2,0.2,0.9,10,"(Pitch=0, Yaw=0, Roll=0)",30,0,0.01,1200,5,-0.2,None
遥控烟雾Test,0,82,34,0,True,EGPThrowableWeaponTypeForADS::Special,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_C103_Smoke.BP_C103_Smoke_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=90)",False,(),1800,900,1,0,False,True,"(SmokeBreakType=ESmokeBreakType::SmokeBreakTaker, SmokeBreakID=None, SmokeID_SOL=23, SmokeID_MP=24)",True,,"(AssetPath=None, SubPath=)",0.5,0.5,0.5,0.05,0.8,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,0.2,None
ANewTest83,0,83,34,0,True,EGPThrowableWeaponTypeForADS::Special,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_C103_Smoke.BP_C103_Smoke_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=90)",False,(),1800,900,1,0,False,True,"(SmokeBreakType=ESmokeBreakType::SmokeBreakTaker, SmokeBreakID=None, SmokeID_SOL=23, SmokeID_MP=24)",True,,"(AssetPath=/Game/BluePrints/Ability/Smoke/BP_BlindSmokeActor.BP_BlindSmokeActor_C, SubPath=)",0.5,0.5,0.5,0.05,0.8,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,0.2,None
75,0,75,0,6,True,EGPThrowableWeaponTypeForADS::Special,"(AssetPath=/Game/BluePrints/Ability/C104/ToxicSmoke/BP_AbilityBullet_C104_Smoke.BP_AbilityBullet_C104_Smoke_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=90)",False,(),1800,900,1,0,True,True,"(SmokeBreakType=ESmokeBreakType::SmokeBreakTaker, SmokeBreakID=None, SmokeID_SOL=3, SmokeID_MP=4)",True,,"(AssetPath=None, SubPath=)",0.1,0.3,0.3,0.05,0.8,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,0.2,None
声呐装置,0,60,0,38,False,EGPThrowableWeaponTypeForADS::Placement,"(AssetPath=/Game/BluePrints/Ability/Mine/BP_AntiTankMine_Bullet.BP_AntiTankMine_Bullet_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=0)",False,(),6000,6000,0,0,False,False,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.3,0.2,0.7,0.9,10,"(Pitch=-450, Yaw=0, Roll=0)",30,0.6,0.006,200,5,-0.2,None
投掷型干扰装置,0,64,45,37,True,EGPThrowableWeaponTypeForADS::Special,"(AssetPath=/Game/BluePrints/Ability/Scout/C204/BP_Projectile_C204Interference.BP_Projectile_C204Interference_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=90)",False,(),2700,900,1,0,True,True,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.3,0.05,0.5,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,-0.2,None
延时型闪光弹,0,65,46,36,True,EGPThrowableWeaponTypeForADS::Special,"(AssetPath=/Game/BluePrints/Ability/Scout/C204/BP_Proj_C204Flash.BP_Proj_C204Flash_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=90)",False,(),2300,900,1,0,True,True,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.3,0.05,0.5,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,-0.2,None
C405_X,0,66,6,10,False,EGPThrowableWeaponTypeForADS::Damage,"(AssetPath=/Game/BluePrints/Ability/AbilityAdvanced/BP_AbilityBullet_AirCannon.BP_AbilityBullet_AirCannon_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=90, Roll=180)",False,(),2700,900,1.5,0,True,True,"(SmokeBreakType=ESmokeBreakType::SmokeBreaker, SmokeBreakID=AirCannon, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.3,0.2,0.5,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,-0.2,None
C405_V,0,67,9,17,True,EGPThrowableWeaponTypeForADS::Damage,"(AssetPath=/Game/BluePrints/Ability/C405/BP_AbilityBullet_Freeze.BP_AbilityBullet_Freeze_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=-90, Yaw=180, Roll=0)",False,(),2700,900,1.5,0,False,False,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.3,0.3,0.3,0.05,0.5,0.9,10,"(Pitch=280, Yaw=280, Roll=290)",30,0.6,0.006,200,5,0.2,None
C405_G,0,68,20,26,True,EGPThrowableWeaponTypeForADS::Damage,"(AssetPath=/Game/BluePrints/Ability/C405/BP_AbilityBullet_StunGrenade.BP_AbilityBullet_StunGrenade_C, SubPath=)",(),"(AssetPath=None, SubPath=)","(Pitch=0, Yaw=0, Roll=0)",False,(),1800,900,0,0,True,True,"(SmokeBreakType=ESmokeBreakType::None, SmokeBreakID=None, SmokeID_SOL=0, SmokeID_MP=0)",False,,"(AssetPath=None, SubPath=)",0.5,0.5,0.5,0.05,0.8,0.9,10,"(Pitch=0, Yaw=0, Roll=0)",30,0.6,0.006,200,5,-0.2,None
