RowName,ItemId,FunctionId,BPClass,ABP_AnimInstClass,ABP_AnimInstClass_3P,RowDescription
医疗粉尘,21020300035,0,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_WeaponThrow_MedicalDrone.BP_WeaponThrow_MedicalDrone_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C103_MedicalDrone/ABP_Support_C103_MedicalDrone_1P.ABP_Support_C103_MedicalDrone_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C103_MedicalDrone/ABP_Support_C103_MedicalDrone_1P.ABP_Support_C103_MedicalDrone_1P_C, SubPath=)",None
遥控烟雾,21020300036,0,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_WeaponBaseLeftThrow_C103Smoke.BP_WeaponBaseLeftThrow_C103Smoke_C, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",None
救援无人机,21020300037,0,"(AssetPath=/Game/BluePrints/Ability/MedicalSoldier/103/BP_WeaponBaseLeftThrow_Butter.BP_WeaponBaseLeftThrow_Butter_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C103_Butterfly/ABP_Support_C103_Butterfly_1P.ABP_Support_C103_Butterfly_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C103_Butterfly/ABP_Support_C103_Butterfly_1P.ABP_Support_C103_Butterfly_1P_C, SubPath=)",None
21010000046,21010000046,0,"(AssetPath=/Game/BluePrints/Weapons/WeaponBP/BP_WeaponBaseLeftThrow_C101Smoke.BP_WeaponBaseLeftThrow_C101Smoke_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C101_honeycombsmoke_01/ABP_Support_C101_honeycombsmoke_01_1P.ABP_Support_C101_honeycombsmoke_01_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Support_C101_honeycombsmoke_01/ABP_Support_C101_honeycombsmoke_01_1P.ABP_Support_C101_honeycombsmoke_01_1P_C, SubPath=)",None
声纳探测装置,21020300050,0,"(AssetPath=/Game/BluePrints/Ability/Scout/C204/BP_WeaponThrow_SonarDetectDevice.BP_WeaponThrow_SonarDetectDevice_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_SoundDetect/ABP_Recon_C204_SoundDetect.ABP_Recon_C204_SoundDetect_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_SoundDetect/ABP_Recon_C204_SoundDetect.ABP_Recon_C204_SoundDetect_C, SubPath=)",None
投掷型干扰装置,21020300051,0,"(AssetPath=/Game/BluePrints/Ability/Scout/C204/BP_WeaponThrow_C204Interference.BP_WeaponThrow_C204Interference_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_Interference/ABP_Recon_C204_Interference_1P.ABP_Recon_C204_Interference_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_Interference/ABP_Recon_C204_Interference_3P.ABP_Recon_C204_Interference_3P_C, SubPath=)",None
延时型闪光弹,21020300052,0,"(AssetPath=/Game/BluePrints/Weapons/WeaponBP/BP_WeaponBaseLeftThrow_C204Flash.BP_WeaponBaseLeftThrow_C204Flash_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_Flash/ABP_Recon_C204_Flash_1P.ABP_Recon_C204_Flash_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Recon_C204_Flash/ABP_Recon_C204_Flash_3P.ABP_Recon_C204_Flash_3P_C, SubPath=)",None
21010000044,21010000044,0,"(AssetPath=/Game/BluePrints/Ability/C405/BP_WeaponBaseThrowLiquidNitrogen.BP_WeaponBaseThrowLiquidNitrogen_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Engineering_C405_IceSpray/ABP_Engineering_C405_IceSpray_1P.ABP_Engineering_C405_IceSpray_1P_C, SubPath=)","(AssetPath=None, SubPath=)",None
21010000045,21010000045,0,"(AssetPath=/Game/BluePrints/Weapons/WeaponBP/BP_WeaponBaseThrow.BP_WeaponBaseThrow_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Incendiary_Grenade_001/ABP_Incendiary_Grenade_001_1P.ABP_Incendiary_Grenade_001_1P_C, SubPath=)","(AssetPath=/Game/Models/Weapons/MilitaryProps/Incendiary_Grenade_001/ABP_Incendiary_Grenade_001_3P.ABP_Incendiary_Grenade_001_3P_C, SubPath=)",None
脑控小车,21026010001,0,"(AssetPath=/Game/BluePrints/Ability/Havvk/C601/BP_WeaponThrow_RemoteCar.BP_WeaponThrow_RemoteCar_C, SubPath=)","(AssetPath=None, SubPath=)","(AssetPath=None, SubPath=)",None
